"FlightNo_name","from_name","time_dateTime","status_status","to_name"
"NY113","","","",""
"NY327","","","",""
"NY017","","","",""
"NY127","","","",""
"NY153","","","",""
"NY408","","","",""
"NY167","","","",""
"NY357","","","",""
"NY113","","","",""
"NY327","","","",""
"NY017","","","",""
"NY127","","","",""
"NY153","","","",""
"NY234","","","",""
"NY167","","","",""
"NY357","","","",""
"NY606","","","",""
"","Akureyri (AEY)","","",""
"","Egilsstaðir (EGS)","","",""
"","Ísafjörður (IFJ)","","",""
"","Akureyri (AEY)","","",""
"","Akureyri (AEY)","","",""
"","Nuuk (GOH)","","",""
"","Akureyri (AEY)","","",""
"","Egilsstaðir (EGS)","","",""
"","Akureyri (AEY)","","",""
"","Egilsstaðir (EGS)","","",""
"","Ísafjörður (IFJ)","","",""
"","Akureyri (AEY)","","",""
"","Akureyri (AEY)","","",""
"","Kulusuk (KUS)","","",""
"","Akureyri (AEY)","","",""
"","Egilsstaðir (EGS)","","",""
"","Reykjavík (RKV)","","",""
"","","25/22/2020 09:10","",""
"","","25/22/2020 10:00","",""
"","","25/22/2020 12:00","",""
"","","25/22/2020 13:00","",""
"","","25/22/2020 17:00","",""
"","","25/22/2020 20:10","",""
"","","25/22/2020 20:15","",""
"","","25/22/2020 20:25","",""
"","","25/22/2020 09:10","",""
"","","25/22/2020 10:00","",""
"","","25/22/2020 12:00","",""
"","","25/22/2020 13:00","",""
"","","25/22/2020 17:00","",""
"","","25/22/2020 17:10","",""
"","","25/22/2020 20:15","",""
"","","25/22/2020 20:25","",""
"","","25/22/2020 22:15","",""
"","","","Estimated Arrival: 09:05",""
"","","","Estimated Arrival: 09:53",""
"","","","Estimated Arrival: 11:53",""
"","","","Estimated Arrival: 12:53",""
"","","","Estimated Arrival: 17:00",""
"","","","Estimated Arrival: 20:10",""
"","","","Estimated Arrival: 20:15",""
"","","","Estimated Arrival: 20:25",""
"","","","Estimated Arrival: 09:10",""
"","","","Estimated Arrival: 10:00",""
"","","","Estimated Arrival: 12:00",""
"","","","Estimated Arrival: 13:00",""
"","","","Estimated Arrival: 17:00",""
"","","","Estimated Arrival: 17:10",""
"","","","Estimated Arrival: 20:15",""
"","","","Estimated Arrival: 20:25",""
"","","","Estimated Arrival: 22:15",""
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"
"","","","","Reykjavík (REY)"